New-World-chat, chat
water beetle
cero,-pintado,-kingfish,-Scomberomorus regalis
iridaceous plant
chervil,-beaked-parsley,-Anthriscus cereifolium
gaboon-viper,-Bitis gabonica
sloth,-tree sloth
lemon balm
gopher-snake,-Pituophis melanoleucus
smooth-lip-fern,-Alabama-lip-fern,-Cheilanthes alabamensis
radish-plant, radish
licorice, liquorice
dioon
Kentucky-coffee-tree,-bonduc,-chicot,-Gymnocladus dioica
red-lauan,-red-lauan-tree,-Shorea teysmanniana
red-shafted-flicker,-Colaptes-caper collaris
banded-palm-civet,-Hemigalus hardwickii
cinchona, chinchona
shade tree
goose-grass,-Texas-millet,-Panicum Texanum
cassava, manioc
soft-shield-fern,-Polystichum setiferum
rocket-larkspur,-Consolida-ambigua,-Delphinium ajacis
rewa-rewa,-New-Zealand honeysuckle
scarlet-haw,-Crataegus biltmoreana
ant,-emmet, pismire
jack-oak,-northern-pin-oak,-Quercus ellipsoidalis
bus,-autobus,-coach,-charabanc,-double-decker,-jitney,-motorbus,-motorcoach,-omnibus,-passenger vehicle
Molly-Miller,-Scartella cristata
black-footed-ferret,-ferret,-mustela nigripes
crested-coral-root,-Hexalectris spicata
sand dollar
star-anise,-Illicium anisatum
Pacific-tree-toad,-Hyla regilla
false-indigo,-bastard-indigo,-Amorpha californica
winter-crookneck,-winter-crookneck-squash,-Cucurbita moschata
American-water spaniel
chrysalis
Christmas-fern,-canker-brake,-dagger-fern,-evergreen-wood-fern,-Polystichum acrostichoides
horn-fly,-Haematobia irritans
Rocky-Mountain-bee-plant,-stinking-clover,-Cleome serrulata
mud turtle
whitefly
thrush-nightingale,-Luscinia luscinia
tansy,-golden-buttons,-scented-fern,-Tanacetum vulgare
eastern-cricket-frog,-Acris gryllus
Spodoptera frugiperda
conacaste,-elephant's-ear,-Enterolobium cyclocarpa
house-martin,-Delichon urbica
fever tree
narrow-goldenrod,-Solidago spathulata
lizard-orchid,-Himantoglossum hircinum
ant thrush
bear cub
eastern-coral-snake,-Micrurus fulvius
filaria
rabbit,-coney, cony
Chinese mustard
scilla, squill
hairy-legged-vampire-bat,-Diphylla ecaudata
Accipitriformes,-order Accipitriformes
dungeness-crab,-cancer magister
night-snake,-hypsiglena torquata
squash-bug,-Anasa tristis
limestone-salamander,-Hydromantes brunus
eastern-woodrat,-Neotoma floridana
western-red-cedar,-red-cedar,-canoe-cedar,-Thuja plicata
blue-crab,-Callinectes sapidus
Hungarian-partridge,-grey-partridge,-gray-partridge,-Perdix perdix
betel,-betel-pepper,-Piper betel
tansy-leaved-rocket,-Hugueninia-tanacetifolia,-Sisymbrium tanacetifolia
oak chestnut
Malayan-tapir,-Indian-tapir,-Tapirus indicus
hairy-golden-aster,-prairie-golden-aster,-Heterotheca-villosa,-Chrysopsis villosa
pinche,-Leontocebus oedipus
angelim, andelmin
unguiculate,-unguiculate mammal
giant-ryegrass,-Elymus-condensatus,-Leymus condensatus
burbot,-eelpout,-ling,-cusk,-Lota lota
millettia
